43x20,520x26,287x81
66x44,47x31,148x86
163x15,494x58,60x29
110x76,195x63,444x63
336x18,232x18,111x55
47x39,201x63,242x75
219x14,255x40,27x64
188x82,108x34,232x87
269x54,399x86,538x32
399x22,190x77,395x88
427x44,98x71,488x28
222x36,482x24,207x52
54x30,321x66,40x3
418x43,117x99,229x47
270x4,266x26,529x66
296x1,318x21,521x81
206x1,253x98,544x95
273x10,236x56,339x98
539x30,65x14,182x67
183x76,305x67,491x35
520x36,72x95,539x48
271x81,380x92,418x19
106x54,358x71,161x84
47x5,292x92,188x24
21x8,505x60,464x94
500x22,339x74,315x18
530x9,299x60,448x25
505x10,19x83,406x51
535x56,15x5,530x76
47x5,293x72,123x37
142x35,155x96,107x63
222x25,410x56,326x10
238x98,487x81,58x86
401x84,433x2,316x33
128x89,334x73,67x11
278x92,511x13,419x64
299x94,48x66,65x91
390x68,452x0,310x42
272x36,514x33,141x25
338x16,270x94,444x67
26x47,94x48,32x8
40x84,216x13,280x14
381x18,149x94,100x91
80x44,413x13,104x4
238x61,543x54,363x56
537x55,11x45,219x41
499x46,225x5,521x81
369x50,323x1,128x25
501x82,81x6,22x27
95x2,476x74,248x1
96x94,201x44,51x53
519x12,324x67,375x11
90x53,172x49,516x10
299x8,21x85,139x41
33x48,167x6,480x64
101x17,141x74,342x42
136x41,154x13,291x21
110x28,52x73,513x37
303x45,253x84,377x7
381x85,304x40,118x40
525x59,92x63,549x91
23x37,375x43,125x31
236x93,190x0,163x73
479x52,251x14,417x18
270x34,202x62,217x43
309x79,240x21,315x35
536x75,352x83,354x51
167x93,36x53,365x51
55x91,183x44,24x8
101x55,538x27,392x35
494x30,432x22,282x68
51x14,382x32,461x81
215x99,116x16,309x9
11x43,179x0,256x0
21x27,268x14,123x97
392x38,500x7,259x72
384x92,350x94,294x13
250x33,150x35,479x26
55x91,449x16,430x39
395x28,156x14,382x73
75x56,136x6,407x25
404x29,165x68,472x86
308x12,149x10,201x36
214x92,379x39,45x39
154x41,378x33,434x49
98x20,153x57,19x29
540x22,33x71,398x58
519x32,431x57,391x48
258x85,36x37,331x27
104x35,462x50,425x79
382x80,488x80,356x19
414x92,356x6,486x90
